date, pm25
1/1/2023,86
2/1/2023,103
3/1/2023,98
4/1/2023,78
5/1/2023,82
6/1/2023,63
7/1/2023,69
8/1/2023,86
9/1/2023,107
10/1/2023,97
11/1/2023,64
12/1/2023,75
13/1/2023,71
14/1/2023,67
15/1/2023,74
16/1/2023,81
17/1/2023,90
18/1/2023,78
19/1/2023,78
20/1/2023,82
21/1/2023,74
22/1/2023,81
23/1/2023,124
24/1/2023,113
25/1/2023,74
26/1/2023,117
27/1/2023,121
28/1/2023,79
29/1/2023,96
30/1/2023,116
31/1/2023,167
1/2/2023,182
2/2/2023,174
3/2/2023,121
4/2/2023,87
5/2/2023,77
6/2/2023,74
7/2/2023,67
8/2/2023,67
9/2/2023,75
10/2/2023,73
11/2/2023,109
12/2/2023,90
13/2/2023,73
14/2/2023,79
15/2/2023,103
16/2/2023,86
17/2/2023,115
18/2/2023,126
19/2/2023,139
20/2/2023,108
21/2/2023,113
22/2/2023,129
23/2/2023,146
24/2/2023,153
25/2/2023,135
26/2/2023,95
27/2/2023,116
28/2/2023,149
1/3/2023,156
2/3/2023,145
3/3/2023,120
4/3/2023,160
5/3/2023,158
6/3/2023,163
7/3/2023,178
8/3/2023,179
9/3/2023,138
10/3/2023,136
11/3/2023,125
12/3/2023,112
13/3/2023,133
14/3/2023,132
15/3/2023,149
16/3/2023,118
17/3/2023,112
18/3/2023,110
19/3/2023,82
20/3/2023,78
21/3/2023,89
22/3/2023,90
23/3/2023,76
24/3/2023,78
25/3/2023,78
26/3/2023,76
27/3/2023,70
28/3/2023,71
29/3/2023,65
30/3/2023,69
31/3/2023,71
1/4/2023,76
2/4/2023,76
3/4/2023,76
4/4/2023,76
5/4/2023,76
6/4/2023,76
7/4/2023,76
8/4/2023,76
9/4/2023,76
10/4/2023,76
11/4/2023,76
12/4/2023,76
13/4/2023,76
14/4/2023,76
15/4/2023,76
16/4/2023,76
17/4/2023,76
18/4/2023,76
19/4/2023,76
20/4/2023,147
21/4/2023,142
22/4/2023,149
23/4/2023,118
24/4/2023,125
25/4/2023,89
26/4/2023,79
27/4/2023,118
28/4/2023,90
29/4/2023,93
30/4/2023,74
1/5/2023,83
2/5/2023,88
3/5/2023,73
4/5/2023,69
5/5/2023,100
6/5/2023,86
7/5/2023,86
8/5/2023,77
9/5/2023,78
10/5/2023,72
11/5/2023,76
12/5/2023,62
13/5/2023,63
14/5/2023,51
15/5/2023,83
16/5/2023,108
17/5/2023,96
18/5/2023,95
19/5/2023,87
20/5/2023,94
21/5/2023,96
22/5/2023,88
23/5/2023,91
24/5/2023,85
25/5/2023,84
26/5/2023,94
27/5/2023,87
28/5/2023,77
29/5/2023,68
30/5/2023,72
31/5/2023,76
1/6/2023,81
2/6/2023,82
3/6/2023,75
4/6/2023,54
5/6/2023,50
6/6/2023,78
7/6/2023,67
8/6/2023,59
9/6/2023,52
10/6/2023,52
11/6/2023,51
12/6/2023,54
13/6/2023,52
14/6/2023,58
15/6/2023,46
16/6/2023,49
17/6/2023,47
18/6/2023,41
19/6/2023,37
20/6/2023,67
21/6/2023,59
22/6/2023,70
23/6/2023,70
24/6/2023,59
25/6/2023,52
26/6/2023,50
27/6/2023,57
28/6/2023,60
29/6/2023,64
30/6/2023,55
1/7/2023,45
2/7/2023,26
3/7/2023,45
4/7/2023,62
5/7/2023,69
6/7/2023,63
7/7/2023,57
8/7/2023,53
9/7/2023,65
10/7/2023,52
11/7/2023,48
12/7/2023,59
13/7/2023,55
14/7/2023,54
15/7/2023,65
16/7/2023,63
17/7/2023,34
18/7/2023,44
19/7/2023,56
20/7/2023,73
21/7/2023,67
22/7/2023,60
23/7/2023,51
24/7/2023,56
25/7/2023,55
26/7/2023,58
27/7/2023,53
28/7/2023,60
29/7/2023,55
30/7/2023,58
31/7/2023,54
1/8/2023,59
2/8/2023,67
3/8/2023,72
4/8/2023,69
5/8/2023,64
6/8/2023,57
7/8/2023,57
8/8/2023,56
9/8/2023,63
10/8/2023,68
