date, pm25
30/7/2016,61
31/7/2016,68
1/8/2016,60
2/8/2016,68
3/8/2016,70
4/8/2016,66
5/8/2016,79
6/8/2016,72
7/8/2016,68
8/8/2016,59
9/8/2016,74
10/8/2016,92
11/8/2016,75
12/8/2016,63
13/8/2016,65
14/8/2016,68
15/8/2016,68
16/8/2016,68
17/8/2016,75
18/8/2016,85
19/8/2016,81
20/8/2016,73
21/8/2016,79
22/8/2016,72
23/8/2016,74
24/8/2016,78
25/8/2016,81
26/8/2016,74
27/8/2016,63
28/8/2016,66
29/8/2016,57
30/8/2016,53
31/8/2016,57
1/9/2016,63
2/9/2016,62
3/9/2016,49
4/9/2016,49
5/9/2016,50
6/9/2016,54
7/9/2016,56
8/9/2016,62
9/9/2016,79
10/9/2016,62
11/9/2016,63
12/9/2016,63
13/9/2016,67
14/9/2016,59
15/9/2016,77
16/9/2016,61
17/9/2016,65
18/9/2016,49
19/9/2016,60
20/9/2016,87
21/9/2016,84
22/9/2016,92
23/9/2016,97
24/9/2016,88
25/9/2016,54
26/9/2016,52
27/9/2016,46
28/9/2016,54
29/9/2016,51
30/9/2016,49
1/10/2016,50
2/10/2016,73
3/10/2016,60
4/10/2016,66
5/10/2016,83
6/10/2016,87
7/10/2016,69
8/10/2016,65
9/10/2016,69
10/10/2016,67
11/10/2016,87
12/10/2016,97
13/10/2016,121
14/10/2016,115
15/10/2016,100
16/10/2016,82
17/10/2016,95
18/10/2016,161
19/10/2016,96
20/10/2016,66
21/10/2016,74
22/10/2016,74
23/10/2016,80
24/10/2016,98
25/10/2016,97
26/10/2016,83
27/10/2016,70
28/10/2016,83
29/10/2016,77
30/10/2016,76
31/10/2016,62
1/11/2016,68
2/11/2016,66
3/11/2016,89
4/11/2016,110
5/11/2016,141
6/11/2016,160
7/11/2016,166
8/11/2016,96
9/11/2016,109
10/11/2016,90
11/11/2016,79
12/11/2016,77
13/11/2016,68
14/11/2016,89
15/11/2016,71
16/11/2016,73
17/11/2016,92
18/11/2016,94
19/11/2016,126
20/11/2016,113
21/11/2016,142
22/11/2016,134
23/11/2016,132
24/11/2016,95
25/11/2016,103
26/11/2016,93
27/11/2016,63
28/11/2016,71
29/11/2016,100
30/11/2016,116
1/12/2016,87
2/12/2016,95
3/12/2016,105
4/12/2016,97
5/12/2016,109
6/12/2016,113
7/12/2016,145
8/12/2016,151
9/12/2016,144
10/12/2016,148
11/12/2016,174
12/12/2016,164
13/12/2016,160
14/12/2016,153
15/12/2016,85
16/12/2016,85
17/12/2016,114
18/12/2016,139
19/12/2016,143
20/12/2016,148
21/12/2016,159
22/12/2016,107
23/12/2016,90
24/12/2016,104
25/12/2016,138
26/12/2016,154
27/12/2016,98
28/12/2016,92
